,EPIC,L_bol,L_bol_err,Teff,Tmax,Tmin,clustered,clusterederr,clusterenergy,clusterenergy_err,count_true,energ_true,stars_in_bin,rel_energ_err
126,211913859.0,1.4266952797331432e+29,4.76337656086982e+28,3410.0,7000.0,3000.0,191.96725258571666,42.71313907878017,1.2448095011497897e+32,8.176645681977426e+31,2.3000000000000003,2.2486363619217447e+32,740,0.6568591960797959
195,211939015.0,2.656630928328716e+30,4.893695018525311e+29,3800.0,7000.0,3000.0,50.144567051223135,10.612974773808167,1.3760602726422949e+32,7.457583953061965e+31,1.1,2.2634607801213305e+32,740,0.5419518389802794
311,211971468.0,2.53706284034917e+28,2.190676153566424e+28,3250.0,7000.0,3000.0,394.0635125942561,81.0071025042451,1.1652943702359201e+32,7.309290933264376e+31,4.0,2.323910431467918e+32,740,0.6272484549791973
404,211992451.0,1.4266952797331432e+29,4.76337656086982e+28,3410.0,7000.0,3000.0,189.22366614001126,42.65223775418807,1.2270187455451852e+32,8.095421153602544e+31,3.5999999999999996,2.3385721839768554e+32,740,0.6597634455866126
64,211896450.0,7.661807289480494e+30,2.2934552225196235e+30,4000.0,7000.0,3000.0,29.33407889642919,5.589742160415798,1.2874211426754063e+32,6.190210713582139e+31,3.3,2.401068867726012e+32,740,0.4808225147458883
386,211989060.0,1.3011615595745358e+28,1.1235132039949538e+28,3200.0,7000.0,3000.0,454.2030992033888,97.81900630902162,9.066933139408476e+31,5.208323707977116e+31,4.5,2.4549339331174072e+32,740,0.5744305850607503
310,211971354.0,8.401004635966278e+29,3.385204907166215e+29,3650.0,7000.0,3000.0,51.31740982098092,11.527673784533539,8.039167767064265e+31,4.421269931329866e+31,1.8888888888888888,2.470553833925836e+32,740,0.5499661232899511
205,211939462.0,2.4228762028039462e+29,8.089374008782233e+28,3500.0,7000.0,3000.0,121.18050306238834,30.361982568266573,1.0799794931493625e+32,6.219842284118513e+31,2.2,2.4876088423667736e+32,740,0.5759222581144234
452,212014492.0,8.401004635966278e+29,3.385204907166215e+29,3650.0,7000.0,3000.0,441.8934762408124,98.64422351197808,6.92251577595935e+32,3.797430096104946e+32,3.2,2.518622679717008e+32,740,0.548562144024682
237,211949413.0,2.53706284034917e+28,2.190676153566424e+28,3250.0,7000.0,3000.0,528.2090155476296,117.65495456938532,1.5619791542569787e+32,1.006575272451498e+32,4.333333333333333,2.52281348686604e+32,740,0.6444229871494784
372,211987847.0,1.4266952797331432e+29,4.76337656086982e+28,3410.0,7000.0,3000.0,190.90764365324196,41.780955678827205,1.237938478884892e+32,8.086353588907123e+31,2.2857142857142856,2.6262150614313397e+32,740,0.6532112642779417
345,211981575.0,6.372813724560243e+27,2.274461611803033e+27,3100.0,7000.0,3000.0,671.5045304095735,127.09332833367522,1.0043054274219055e+32,5.796704424517734e+31,2.375,2.6298314876127884e+32,740,0.5771854125490608
12,211805435.0,1.3011615595745358e+28,1.1235132039949538e+28,3200.0,7000.0,3000.0,365.01863522309134,81.05687947042335,7.286607172012903e+31,4.234457776215137e+31,1.8333333333333335,2.6325632892469453e+32,740,0.581128867832926
499,212035441.0,1.4266952797331432e+29,4.76337656086982e+28,3410.0,7000.0,3000.0,198.6774097993184,41.16984118427807,1.288321440510231e+32,8.265567848541527e+31,1.9000000000000001,2.64017484290074e+32,740,0.6415765187660002
453,212014492.0,8.401004635966278e+29,3.385204907166215e+29,3650.0,7000.0,3000.0,78.56527916297345,17.553421880183997,1.2307703410220735e+32,6.753926611844076e+31,3.2,2.656906586787687e+32,740,0.5487560421902421
370,211987847.0,1.4266952797331432e+29,4.76337656086982e+28,3410.0,7000.0,3000.0,204.74181342333856,44.56508333212884,1.3276459979454463e+32,8.656540905816856e+31,1.7,2.7141748265381063e+32,740,0.652021767791489
98,211905618.0,2.53706284034917e+28,2.190676153566424e+28,3250.0,7000.0,3000.0,587.5738185654582,122.30511230967174,1.737528192764555e+32,1.094351847085797e+32,1.1111111111111112,2.7418202451552786e+32,740,0.6298325699939235
152,211921927.0,2.4228762028039462e+29,8.089374008782233e+28,3500.0,7000.0,3000.0,118.17592550102188,25.835441389848466,1.0532022305547196e+32,5.729304567782004e+31,1.7272727272727273,2.809359496962115e+32,740,0.5439890271372091
53,211889082.0,8.401004635966278e+29,3.385204907166215e+29,3650.0,7000.0,3000.0,131.00612099139286,25.79973545697971,2.0522863270693332e+32,1.0718408319001402e+32,1.1764705882352942,2.814304795204057e+32,740,0.5222667118923556
298,211970427.0,1.4266952797331432e+29,4.76337656086982e+28,3410.0,7000.0,3000.0,194.8477830275151,38.22919498590248,1.2634882685645642e+32,7.967017359137538e+31,3.625,2.8161883568782564e+32,740,0.6305572878954216
